,draft_class,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MPpg,FGpg,FGApg,2Ppg,2PApg,3Ppg,3PApg,FTpg,FTApg,ORBpg,DRBpg,TRBpg,ASTpg,STLpg,BLKpg,TOVpg,PFpg,PTSpg,FG_40,FGA_40,2P_40,2PA_40,3P_40,3PA_40,FT_40,FTA_40,ORB_40,DRB_40,TRB_40,AST_40,STL_40,BLK_40,TOV_40,PF_40,PTS_40,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STLpct,BLKpct,TOVpct,USGpct,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM,nba_WS,nba_G,nba_GS,nba_MP,nba_PER,nba_NetRtg,nba_WS48,nba_BPM,nba_VORP
FTA,0.08,-0.06,0.25,0.43,0.42,0.52,0.58,-0.11,-0.07,0.93,1.00,0.14,0.34,0.29,-0.00,-0.02,0.09,0.32,0.16,0.57,0.33,0.41,0.40,0.47,0.52,-0.11,-0.06,0.90,0.97,0.13,0.31,0.27,0.01,-0.02,0.07,0.31,0.16,0.54,0.28,0.32,0.36,0.44,-0.21,-0.16,0.89,0.90,0.09,0.24,0.19,-0.03,-0.08,0.04,0.23,-0.01,0.50,0.38,-0.22,-0.25,0.07,0.22,0.17,0.06,-0.07,0.04,-0.09,0.59,0.61,-0.13,0.10,0.26,0.04,0.25,-0.05,-0.09,-0.11,-0.18,-0.20,-0.16,-0.20,-0.02,-0.03,-0.08,-0.23,-0.17
ORB,-0.02,-0.20,-0.33,-0.11,-0.24,0.40,0.33,-0.53,-0.53,-0.03,0.14,1.00,0.66,0.86,-0.34,-0.18,0.59,-0.10,0.45,-0.24,-0.25,-0.03,-0.17,0.41,0.35,-0.51,-0.52,0.01,0.18,0.98,0.67,0.84,-0.33,-0.14,0.59,-0.05,0.52,-0.17,0.16,-0.04,0.49,0.45,-0.50,-0.50,0.13,0.30,0.96,0.75,0.88,-0.31,-0.07,0.55,0.04,0.47,-0.02,0.35,-0.17,-0.04,0.94,0.73,0.86,-0.30,-0.08,0.55,0.01,0.04,-0.22,-0.11,-0.32,-0.24,0.21,-0.10,-0.36,0.44,0.08,0.07,-0.01,0.07,-0.04,0.15,0.37,0.29,0.16,0.07
DRB,0.14,-0.09,0.06,0.11,-0.00,0.42,0.37,-0.33,-0.31,0.23,0.34,0.66,1.00,0.96,-0.10,-0.07,0.54,0.09,0.35,0.05,0.15,0.13,0.03,0.40,0.35,-0.32,-0.30,0.23,0.34,0.63,0.96,0.90,-0.09,-0.07,0.51,0.11,0.37,0.08,0.09,-0.03,0.34,0.32,-0.36,-0.35,0.24,0.33,0.57,0.90,0.82,-0.11,-0.10,0.43,0.08,0.19,0.03,0.42,-0.08,-0.15,0.57,0.87,0.81,-0.08,-0.10,0.44,0.05,0.12,0.13,-0.10,-0.30,-0.03,0.39,0.17,-0.27,0.41,0.12,-0.09,-0.20,-0.16,-0.21,0.11,0.25,0.20,0.10,0.04
TRB,0.09,-0.14,-0.09,0.03,-0.10,0.45,0.39,-0.44,-0.43,0.14,0.29,0.86,0.96,1.00,-0.20,-0.12,0.61,0.02,0.42,-0.06,0.00,0.08,-0.05,0.44,0.38,-0.42,-0.41,0.16,0.31,0.83,0.93,0.96,-0.19,-0.10,0.59,0.06,0.46,-0.01,0.12,-0.04,0.43,0.40,-0.45,-0.44,0.22,0.35,0.77,0.92,0.92,-0.20,-0.10,0.52,0.07,0.32,0.01,0.43,-0.13,-0.12,0.77,0.89,0.90,-0.18,-0.10,0.52,0.04,0.10,0.00,-0.12,-0.34,-0.12,0.35,0.08,-0.33,0.46,0.12,-0.03,-0.14,-0.08,-0.16,0.13,0.32,0.25,0.13,0.05
AST,0.04,0.27,0.53,-0.01,0.10,-0.00,0.11,-0.01,0.02,0.05,-0.00,-0.34,-0.10,-0.20,1.00,0.67,-0.44,0.57,-0.26,0.01,0.44,-0.12,0.01,-0.09,0.02,-0.02,-0.00,-0.01,-0.06,-0.37,-0.18,-0.27,0.99,0.59,-0.45,0.48,-0.36,-0.09,-0.44,-0.26,-0.24,-0.14,-0.11,-0.09,-0.14,-0.20,-0.44,-0.31,-0.38,0.98,0.51,-0.46,0.36,-0.47,-0.41,-0.16,-0.14,-0.42,-0.45,-0.31,-0.39,0.95,0.51,-0.46,0.54,-0.18,0.38,-0.10,0.03,0.17,0.21,0.24,0.18,0.11,0.23,-0.00,0.06,-0.12,0.05,-0.19,-0.22,-0.18,-0.06,0.01
STL,-0.03,0.11,0.36,0.09,0.16,0.11,0.18,-0.03,0.01,-0.01,-0.02,-0.18,-0.07,-0.12,0.67,1.00,-0.37,0.39,-0.09,0.04,0.36,0.04,0.13,0.06,0.14,-0.02,0.01,-0.02,-0.04,-0.18,-0.11,-0.14,0.67,0.97,-0.37,0.35,-0.13,0.01,-0.19,-0.06,-0.07,0.00,-0.09,-0.05,-0.13,-0.15,-0.25,-0.22,-0.24,0.67,0.93,-0.39,0.26,-0.27,-0.22,0.05,-0.15,-0.34,-0.28,-0.19,-0.25,0.69,0.93,-0.37,0.33,-0.06,0.28,-0.12,-0.23,0.09,0.40,0.26,0.17,0.23,0.32,-0.03,0.04,-0.10,-0.00,-0.15,-0.17,-0.10,0.07,0.15
BLK,0.05,-0.26,-0.41,-0.15,-0.28,0.26,0.14,-0.42,-0.41,-0.02,0.09,0.59,0.54,0.61,-0.44,-0.37,1.00,-0.19,0.38,-0.23,-0.31,-0.04,-0.18,0.31,0.20,-0.40,-0.39,0.03,0.15,0.60,0.58,0.64,-0.42,-0.33,0.99,-0.12,0.48,-0.13,0.20,-0.03,0.43,0.33,-0.38,-0.36,0.16,0.27,0.65,0.70,0.72,-0.41,-0.25,0.97,-0.01,0.51,0.06,0.40,-0.02,0.09,0.68,0.65,0.71,-0.40,-0.26,0.96,-0.06,0.09,-0.28,-0.12,-0.41,-0.27,0.24,-0.11,-0.46,0.50,0.05,0.05,-0.14,-0.04,-0.16,0.47,0.45,0.42,0.35,0.17
TOV,-0.10,0.04,0.35,0.29,0.34,0.31,0.39,-0.05,0.02,0.32,0.32,-0.10,0.09,0.02,0.57,0.39,-0.19,1.00,0.05,0.28,0.40,0.25,0.31,0.25,0.33,-0.02,0.04,0.29,0.28,-0.12,0.05,-0.01,0.59,0.35,-0.20,0.96,0.01,0.25,0.02,0.15,0.11,0.20,-0.13,-0.07,0.20,0.17,-0.19,-0.06,-0.11,0.56,0.28,-0.23,0.90,-0.18,0.06,-0.08,-0.18,-0.35,-0.19,-0.05,-0.11,0.59,0.27,-0.24,0.74,0.36,0.51,-0.55,0.13,-0.07,-0.02,-0.07,-0.18,-0.11,-0.23,-0.23,-0.09,-0.15,-0.12,-0.18,-0.31,-0.21,-0.28,-0.26
PF,0.06,0.12,-0.13,-0.06,-0.18,0.30,0.22,-0.38,-0.37,0.03,0.16,0.45,0.35,0.42,-0.26,-0.09,0.38,0.05,1.00,-0.14,-0.26,-0.12,-0.22,0.24,0.16,-0.41,-0.40,-0.01,0.12,0.40,0.29,0.35,-0.28,-0.12,0.35,0.01,0.90,-0.20,0.05,-0.13,0.34,0.26,-0.40,-0.38,0.08,0.22,0.42,0.38,0.42,-0.26,-0.07,0.35,0.11,0.81,-0.08,-0.02,-0.11,0.08,0.42,0.32,0.38,-0.25,-0.08,0.34,0.10,-0.04,-0.15,-0.18,-0.14,-0.29,0.12,-0.19,-0.37,0.28,-0.06,-0.08,-0.17,-0.14,-0.20,-0.05,0.17,0.14,-0.07,-0.02
PTS,0.12,0.11,0.59,0.92,0.92,0.29,0.37,0.61,0.64,0.69,0.57,-0.24,0.05,-0.06,0.01,0.04,-0.23,0.28,-0.14,1.00,0.64,0.81,0.84,0.22,0.29,0.62,0.65,0.63,0.50,-0.27,-0.00,-0.10,0.01,0.02,-0.26,0.24,-0.21,0.92,0.52,0.68,-0.02,0.06,0.52,0.53,0.47,0.30,-0.35,-0.18,-0.26,-0.10,-0.14,-0.30,0.03,-0.43,0.75,0.33,0.09,-0.09,-0.36,-0.17,-0.26,-0.01,-0.14,-0.30,-0.37,0.64,0.91,0.14,0.37,0.63,-0.13,0.47,0.42,-0.55,-0.12,-0.18,-0.07,-0.07,-0.05,-0.09,-0.26,-0.20,-0.22,-0.20
MPpg,-0.04,-0.04,0.79,0.56,0.64,0.14,0.26,0.42,0.44,0.46,0.33,-0.25,0.15,0.00,0.44,0.36,-0.31,0.40,-0.26,0.64,1.00,0.55,0.64,0.13,0.25,0.44,0.47,0.46,0.33,-0.24,0.14,0.01,0.47,0.37,-0.31,0.40,-0.25,0.64,-0.02,0.21,-0.23,-0.10,0.28,0.29,0.17,0.00,-0.40,-0.17,-0.27,0.32,0.12,-0.40,0.09,-0.63,0.16,0.12,0.01,-0.28,-0.39,-0.16,-0.26,0.38,0.13,-0.40,0.00,0.24,0.76,0.04,0.33,0.51,-0.01,0.43,0.35,-0.34,-0.00,-0.13,-0.01,-0.05,0.01,-0.16,-0.29,-0.19,-0.10,-0.11
FGpg,0.05,-0.36,0.22,0.90,0.81,0.55,0.59,0.32,0.34,0.44,0.41,-0.03,0.13,0.08,-0.12,0.04,-0.04,0.25,-0.12,0.81,0.55,1.00,0.92,0.60,0.63,0.37,0.41,0.51,0.46,0.01,0.20,0.15,-0.06,0.12,-0.01,0.34,0.01,0.93,0.82,0.83,0.39,0.44,0.27,0.29,0.38,0.31,-0.06,0.05,0.01,-0.18,-0.01,-0.05,0.17,-0.21,0.82,0.46,-0.02,-0.11,-0.07,0.07,0.01,-0.06,-0.02,-0.05,-0.30,0.78,0.70,-0.11,0.29,0.31,-0.23,0.15,0.11,-0.48,-0.30,-0.14,-0.06,0.02,-0.04,0.09,-0.24,-0.17,-0.16,-0.17
FGApg,0.06,-0.27,0.34,0.85,0.93,0.35,0.50,0.47,0.54,0.48,0.40,-0.17,0.03,-0.05,0.01,0.13,-0.18,0.31,-0.22,0.84,0.64,0.92,1.00,0.40,0.53,0.52,0.60,0.53,0.43,-0.13,0.09,0.02,0.06,0.20,-0.15,0.38,-0.13,0.92,0.64,0.88,0.14,0.29,0.42,0.48,0.36,0.24,-0.22,-0.10,-0.15,-0.05,0.04,-0.21,0.17,-0.37,0.75,0.30,-0.22,-0.34,-0.24,-0.07,-0.15,0.07,0.04,-0.20,-0.31,0.81,0.77,-0.20,0.32,0.29,-0.21,0.14,0.15,-0.54,-0.32,-0.14,-0.04,0.06,-0.00,-0.02,-0.33,-0.24,-0.17,-0.14
2Ppg,-0.01,-0.45,-0.17,0.45,0.25,0.95,0.90,-0.56,-0.51,0.30,0.47,0.41,0.40,0.44,-0.09,0.06,0.31,0.25,0.24,0.22,0.13,0.60,0.40,1.00,0.95,-0.51,-0.46,0.39,0.55,0.46,0.48,0.51,-0.03,0.13,0.35,0.36,0.41,0.38,0.66,0.44,0.93,0.93,-0.59,-0.55,0.43,0.57,0.43,0.46,0.48,-0.06,0.12,0.31,0.36,0.27,0.41,0.44,-0.32,-0.24,0.42,0.44,0.45,0.03,0.11,0.32,0.03,0.57,0.26,-0.43,-0.04,-0.18,-0.03,-0.17,-0.47,0.06,-0.32,-0.16,-0.19,-0.09,-0.21,0.20,-0.05,-0.09,-0.17,-0.14
2PApg,-0.04,-0.45,-0.08,0.47,0.38,0.89,0.95,-0.47,-0.42,0.39,0.52,0.35,0.35,0.38,0.02,0.14,0.20,0.33,0.16,0.29,0.25,0.63,0.53,0.95,1.00,-0.42,-0.36,0.48,0.61,0.40,0.45,0.47,0.08,0.22,0.25,0.43,0.33,0.45,0.60,0.53,0.83,0.93,-0.52,-0.48,0.48,0.59,0.35,0.39,0.40,0.04,0.18,0.19,0.40,0.14,0.42,0.39,-0.49,-0.43,0.33,0.38,0.38,0.16,0.17,0.20,0.02,0.67,0.36,-0.51,-0.00,-0.17,-0.04,-0.16,-0.45,-0.01,-0.35,-0.15,-0.15,-0.04,-0.16,0.15,-0.14,-0.16,-0.20,-0.14
3Ppg,0.08,0.13,0.43,0.45,0.58,-0.51,-0.42,0.99,0.96,0.11,-0.11,-0.51,-0.32,-0.42,-0.02,-0.02,-0.40,-0.02,-0.41,0.62,0.44,0.37,0.52,-0.51,-0.42,1.00,0.98,0.08,-0.15,-0.52,-0.34,-0.43,-0.02,-0.02,-0.41,-0.04,-0.46,0.56,0.12,0.39,-0.66,-0.61,0.98,0.95,-0.10,-0.33,-0.56,-0.48,-0.54,-0.11,-0.15,-0.42,-0.23,-0.53,0.40,-0.01,0.34,0.15,-0.56,-0.43,-0.51,-0.10,-0.15,-0.42,-0.36,0.17,0.46,0.38,0.35,0.55,-0.20,0.36,0.66,-0.58,0.04,0.04,0.16,0.14,0.20,-0.13,-0.18,-0.06,0.04,-0.01
3PApg,0.10,0.13,0.45,0.49,0.66,-0.45,-0.35,0.96,0.99,0.15,-0.06,-0.52,-0.30,-0.41,-0.00,0.01,-0.39,0.04,-0.40,0.65,0.47,0.41,0.60,-0.46,-0.36,0.98,1.00,0.12,-0.10,-0.53,-0.33,-0.42,-0.00,0.01,-0.40,0.01,-0.45,0.59,0.14,0.46,-0.62,-0.56,0.95,0.97,-0.06,-0.29,-0.57,-0.48,-0.54,-0.10,-0.12,-0.41,-0.18,-0.54,0.42,-0.05,0.23,0.03,-0.58,-0.44,-0.52,-0.07,-0.12,-0.42,-0.36,0.25,0.50,0.27,0.36,0.48,-0.19,0.31,0.59,-0.59,-0.02,-0.01,0.11,0.11,0.15,-0.16,-0.23,-0.11,0.00,-0.03
FTpg,0.08,-0.27,0.22,0.43,0.46,0.36,0.46,0.05,0.09,0.97,0.90,0.01,0.23,0.16,-0.01,-0.02,0.03,0.29,-0.01,0.63,0.46,0.51,0.53,0.39,0.48,0.08,0.12,1.00,0.93,0.05,0.28,0.21,0.02,0.03,0.05,0.34,0.08,0.70,0.30,0.40,0.24,0.35,-0.03,-0.00,0.95,0.81,-0.00,0.16,0.11,-0.04,-0.06,0.01,0.22,-0.12,0.60,0.51,-0.11,-0.24,-0.01,0.18,0.11,0.07,-0.04,0.01,-0.12,0.66,0.64,-0.00,0.15,0.41,-0.06,0.32,0.12,-0.20,-0.07,-0.10,-0.15,-0.06,-0.10,0.04,-0.10,-0.09,-0.17,-0.07
FTApg,0.06,-0.30,0.09,0.38,0.36,0.53,0.59,-0.18,-0.13,0.89,0.97,0.18,0.34,0.31,-0.06,-0.04,0.15,0.28,0.12,0.50,0.33,0.46,0.43,0.55,0.61,-0.15,-0.10,0.93,1.00,0.21,0.38,0.35,-0.03,0.01,0.16,0.33,0.23,0.58,0.36,0.37,0.45,0.53,-0.25,-0.21,0.93,0.94,0.17,0.31,0.27,-0.07,-0.04,0.13,0.27,0.05,0.55,0.47,-0.23,-0.26,0.16,0.31,0.26,0.04,-0.03,0.13,-0.08,0.65,0.52,-0.17,0.07,0.19,-0.02,0.16,-0.11,-0.09,-0.16,-0.12,-0.17,-0.09,-0.15,0.07,-0.00,-0.05,-0.18,-0.12
ORBpg,-0.05,-0.37,-0.42,-0.14,-0.27,0.39,0.33,-0.55,-0.56,-0.04,0.13,0.98,0.63,0.83,-0.37,-0.18,0.60,-0.12,0.40,-0.27,-0.24,0.01,-0.13,0.46,0.40,-0.52,-0.53,0.05,0.21,1.00,0.70,0.87,-0.34,-0.10,0.63,-0.02,0.55,-0.13,0.20,-0.00,0.53,0.51,-0.51,-0.52,0.17,0.33,0.98,0.78,0.90,-0.32,-0.04,0.59,0.07,0.50,0.02,0.42,-0.18,-0.04,0.97,0.77,0.89,-0.30,-0.04,0.59,0.02,0.10,-0.26,-0.14,-0.33,-0.27,0.16,-0.15,-0.39,0.42,0.04,0.12,0.02,0.14,0.00,0.21,0.38,0.31,0.19,0.10
DRBpg,0.10,-0.36,-0.11,0.06,-0.04,0.41,0.38,-0.38,-0.37,0.20,0.31,0.67,0.96,0.93,-0.18,-0.11,0.58,0.05,0.29,-0.00,0.14,0.20,0.09,0.48,0.45,-0.34,-0.33,0.28,0.38,0.70,1.00,0.96,-0.14,-0.03,0.60,0.14,0.42,0.13,0.18,0.05,0.42,0.42,-0.38,-0.38,0.29,0.37,0.63,0.94,0.88,-0.17,-0.07,0.51,0.12,0.24,0.11,0.51,-0.12,-0.16,0.64,0.93,0.87,-0.12,-0.06,0.52,0.03,0.22,0.05,-0.16,-0.31,-0.10,0.29,0.06,-0.33,0.38,0.06,-0.04,-0.17,-0.08,-0.16,0.20,0.27,0.22,0.14,0.08
TRBpg,0.05,-0.39,-0.24,-0.01,-0.13,0.43,0.39,-0.47,-0.47,0.12,0.27,0.84,0.90,0.96,-0.27,-0.14,0.64,-0.01,0.35,-0.10,0.01,0.15,0.02,0.51,0.47,-0.43,-0.42,0.21,0.35,0.87,0.96,1.00,-0.23,-0.06,0.66,0.09,0.51,0.05,0.21,0.04,0.50,0.48,-0.46,-0.46,0.27,0.39,0.82,0.95,0.95,-0.24,-0.06,0.59,0.11,0.36,0.09,0.52,-0.15,-0.12,0.82,0.94,0.95,-0.20,-0.06,0.60,0.03,0.19,-0.07,-0.16,-0.34,-0.17,0.26,-0.01,-0.38,0.42,0.05,0.02,-0.11,-0.00,-0.11,0.23,0.33,0.28,0.17,0.09
ASTpg,0.03,0.15,0.48,-0.01,0.11,0.02,0.14,-0.03,0.00,0.06,0.01,-0.33,-0.09,-0.19,0.99,0.67,-0.42,0.59,-0.28,0.01,0.47,-0.06,0.06,-0.03,0.08,-0.02,-0.00,0.02,-0.03,-0.34,-0.14,-0.23,1.00,0.62,-0.43,0.53,-0.33,-0.04,-0.40,-0.21,-0.20,-0.08,-0.12,-0.10,-0.11,-0.17,-0.42,-0.28,-0.35,0.98,0.53,-0.45,0.40,-0.46,-0.37,-0.13,-0.17,-0.44,-0.43,-0.28,-0.36,0.97,0.53,-0.44,0.54,-0.12,0.38,-0.15,0.04,0.13,0.18,0.19,0.15,0.09,0.19,0.01,0.06,-0.10,0.06,-0.17,-0.23,-0.19,-0.05,0.02
STLpg,-0.05,-0.11,0.23,0.07,0.14,0.12,0.20,-0.06,-0.03,-0.01,-0.02,-0.14,-0.07,-0.10,0.59,0.97,-0.33,0.35,-0.12,0.02,0.37,0.12,0.20,0.13,0.22,-0.02,0.01,0.03,0.01,-0.10,-0.03,-0.06,0.62,1.00,-0.29,0.37,-0.07,0.08,-0.10,0.02,-0.01,0.08,-0.09,-0.06,-0.07,-0.10,-0.17,-0.15,-0.17,0.60,0.96,-0.31,0.27,-0.23,-0.14,0.14,-0.17,-0.35,-0.20,-0.11,-0.17,0.64,0.96,-0.30,0.29,0.02,0.23,-0.15,-0.22,0.04,0.32,0.18,0.13,0.21,0.27,0.01,0.06,-0.01,0.04,-0.09,-0.16,-0.08,0.12,0.21
